"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"30-Dec-2011","EQ","1,327.00","1,396.95","1,290.00","1,347.65","1,353.00","1,350.30","1,324.00","1,889.00","1,290.00","61,446","8,13,54,706.60","5,279"
"29-Dec-2011","EQ","1,360.10","1,389.00","1,320.00","1,355.95","1,348.90","1,347.65","1,347.38","1,889.00","1,320.00","32,987","4,44,45,903.15","3,152"
"28-Dec-2011","EQ","1,372.95","1,390.00","1,342.55","1,382.10","1,368.00","1,355.95","1,360.58","1,889.00","1,342.55","20,990","2,85,58,575.55","1,544"
"27-Dec-2011","EQ","1,410.00","1,410.00","1,370.00","1,405.85","1,385.15","1,382.10","1,390.07","1,889.00","1,369.95","9,956","1,38,39,559.90","915"
"26-Dec-2011","EQ","1,400.00","1,410.00","1,391.15","1,398.95","1,405.05","1,405.85","1,404.32","1,889.00","1,369.95","2,364","33,19,804.75","255"
"23-Dec-2011","EQ","1,399.95","1,405.00","1,375.05","1,392.05","1,395.00","1,398.95","1,392.95","1,889.00","1,369.95","12,084","1,68,32,380.40","1,402"
"22-Dec-2011","EQ","1,378.00","1,408.00","1,375.05","1,391.45","1,395.00","1,392.05","1,390.70","1,889.00","1,369.95","21,549","2,99,68,161.85","2,293"
"21-Dec-2011","EQ","1,401.00","1,412.80","1,369.95","1,386.70","1,380.00","1,391.45","1,384.26","1,889.00","1,369.95","7,673","1,06,21,457.05","1,658"
"20-Dec-2011","EQ","1,407.00","1,413.00","1,370.00","1,405.75","1,380.50","1,386.70","1,382.26","1,889.00","1,370.00","28,771","3,97,69,111.40","2,660"
"19-Dec-2011","EQ","1,500.30","1,508.90","1,396.10","1,470.10","1,398.00","1,405.75","1,425.66","1,889.00","1,396.10","62,104","8,85,39,155.85","1,772"
"16-Dec-2011","EQ","1,502.00","1,510.00","1,452.00","1,493.80","1,454.25","1,470.10","1,478.13","1,889.00","1,426.45","4,428","65,45,155.90","593"
"15-Dec-2011","EQ","1,450.00","1,503.00","1,426.45","1,501.50","1,490.00","1,493.80","1,492.34","1,889.00","1,426.45","22,731","3,39,22,453.40","1,070"
"14-Dec-2011","EQ","1,500.00","1,513.95","1,485.00","1,488.65","1,500.00","1,501.50","1,503.44","1,889.00","1,434.65","17,267","2,59,59,979.90","1,420"
"13-Dec-2011","EQ","1,509.95","1,524.95","1,474.00","1,528.20","1,488.00","1,488.65","1,488.96","1,889.00","1,434.65","52,850","7,86,91,349.15","4,169"
