"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2010","EQ","1,987.00","2,003.00","1,975.00","1,975.45","1,978.00","1,979.25","1,991.38","2,212.70","1,389.90","7,68,858","1,53,10,89,228.40","-"
"30-Dec-2010","EQ","1,946.00","1,979.90","1,946.00","1,956.70","1,976.55","1,975.45","1,970.43","2,212.70","1,389.90","8,68,680","1,71,16,74,087.70","-"
"29-Dec-2010","EQ","1,948.00","1,961.60","1,935.30","1,939.75","1,958.50","1,956.70","1,949.24","2,212.70","1,389.90","4,10,495","80,01,54,627.90","-"
"28-Dec-2010","EQ","1,961.00","1,961.00","1,935.00","1,950.00","1,938.95","1,939.75","1,940.76","2,212.70","1,389.90","5,89,705","1,14,44,78,503.45","-"
"27-Dec-2010","EQ","1,963.70","1,986.00","1,942.60","1,960.20","1,946.00","1,950.00","1,967.62","2,212.70","1,389.90","5,84,368","1,14,98,12,833.75","-"
"24-Dec-2010","EQ","1,930.00","1,964.70","1,929.90","1,935.15","1,963.35","1,960.20","1,950.57","2,212.70","1,389.90","6,19,036","1,20,74,73,763.65","-"
"23-Dec-2010","EQ","1,957.00","1,969.45","1,927.10","1,955.20","1,934.00","1,935.15","1,939.24","2,212.70","1,389.90","8,44,027","1,63,67,71,470.50","-"
"22-Dec-2010","EQ","1,981.00","1,989.30","1,945.15","1,975.30","1,952.20","1,955.20","1,967.66","2,212.70","1,389.90","6,54,390","1,28,76,18,987.90","-"
"21-Dec-2010","EQ","1,982.00","1,995.00","1,963.00","1,978.25","1,975.10","1,975.30","1,980.30","2,212.70","1,389.90","6,19,531","1,22,68,60,223.25","-"
"20-Dec-2010","EQ","1,991.00","2,011.85","1,970.00","1,983.30","1,977.00","1,978.25","1,982.20","2,212.70","1,389.90","10,18,603","2,01,90,77,781.30","-"
"16-Dec-2010","EQ","2,005.00","2,005.00","1,972.10","1,999.35","1,979.00","1,983.30","1,984.47","2,212.70","1,389.90","8,59,326","1,70,53,03,334.25","-"
"15-Dec-2010","EQ","1,997.00","2,020.00","1,983.15","1,999.85","1,999.00","1,999.35","2,000.04","2,212.70","1,389.90","9,95,221","1,99,04,81,241.60","-"
"14-Dec-2010","EQ","1,972.00","2,007.00","1,970.00","1,962.35","2,007.00","1,999.85","1,990.78","2,212.70","1,389.90","7,96,917","1,58,64,89,693.25","-"
