"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"01-Jan-2019","EQ","1,024.45","1,035.50","1,020.85","1,020.40","1,024.10","1,026.75","1,030.06","1,490.90","922.00","6,71,934","69,21,29,111.40","20,854"
"31-Dec-2018","EQ","1,017.90","1,026.30","1,012.45","1,012.70","1,021.00","1,020.40","1,020.03","1,490.90","922.00","3,84,489","39,21,89,263.15","17,648"
"28-Dec-2018","EQ","1,016.00","1,023.00","1,008.00","1,010.90","1,013.00","1,012.70","1,015.86","1,490.90","922.00","5,03,526","51,15,11,470.45","17,450"
"27-Dec-2018","EQ","999.00","1,020.00","996.75","988.60","1,012.50","1,010.90","1,011.03","1,490.90","922.00","9,38,968","94,93,29,409.55","25,553"
"26-Dec-2018","EQ","990.00","993.65","971.20","990.75","991.00","988.60","980.44","1,490.90","922.00","4,05,975","39,80,33,409.00","18,129"
"24-Dec-2018","EQ","998.50","1,010.90","987.50","998.50","990.80","990.75","995.84","1,490.90","922.00","3,75,742","37,41,77,726.60","15,010"
"21-Dec-2018","EQ","1,013.95","1,016.90","992.00","1,008.80","997.60","998.50","1,000.69","1,490.90","893.00","5,13,574","51,39,27,377.85","24,169"
"20-Dec-2018","EQ","1,000.20","1,019.70","1,000.20","1,003.75","1,009.90","1,008.80","1,011.80","1,490.90","893.00","3,59,208","36,34,47,915.95","15,052"
"19-Dec-2018","EQ","1,016.25","1,021.35","994.00","1,016.25","1,005.00","1,003.75","1,002.19","1,490.90","893.00","8,77,957","87,98,82,098.45","34,432"
"18-Dec-2018","EQ","1,005.00","1,027.65","1,005.00","1,021.95","1,016.50","1,016.25","1,015.89","1,490.90","893.00","4,61,047","46,83,70,901.55","21,281"
"17-Dec-2018","EQ","1,044.40","1,046.15","1,015.35","1,037.75","1,019.95","1,021.95","1,024.16","1,490.90","893.00","6,57,279","67,31,62,101.10","27,249"
"14-Dec-2018","EQ","1,029.00","1,042.85","1,015.00","1,026.50","1,035.05","1,037.75","1,034.83","1,490.90","882.40","5,83,285","60,36,03,119.65","27,178"
"13-Dec-2018","EQ","1,032.00","1,036.65","1,017.00","1,028.60","1,028.00","1,026.50","1,025.56","1,490.90","882.40","4,45,820","45,72,14,684.55","21,741"
"12-Dec-2018","EQ","1,012.00","1,036.50","1,005.20","1,002.50","1,030.00","1,028.60","1,023.98","1,490.90","882.40","5,25,122","53,77,16,031.25","25,430"
"11-Dec-2018","EQ","961.00","1,009.00","952.55","977.50","1,007.00","1,002.50","979.83","1,490.90","882.40","9,70,668","95,10,93,997.25","48,240"
"10-Dec-2018","EQ","994.95","1,011.95","972.10","1,008.05","973.05","977.50","986.10","1,490.90","882.40","5,13,330","50,61,94,051.55","24,130"
"07-Dec-2018","EQ","1,014.00","1,019.95","995.10","1,011.00","1,006.00","1,008.05","1,005.39","1,490.90","882.40","3,38,032","33,98,53,988.70","19,384"
"06-Dec-2018","EQ","1,043.00","1,043.85","1,006.30","1,043.75","1,007.60","1,011.00","1,018.65","1,490.90","882.40","4,54,483","46,29,59,195.20","24,752"
"05-Dec-2018","EQ","1,034.90","1,052.95","1,026.45","1,035.40","1,045.90","1,043.75","1,042.03","1,490.90","882.40","8,21,951","85,64,98,019.30","33,649"
"04-Dec-2018","EQ","1,032.95","1,056.00","1,030.95","1,030.95","1,036.90","1,035.40","1,045.10","1,490.90","882.40","8,69,781","90,90,10,150.20","31,292"
"03-Dec-2018","EQ","1,035.00","1,047.75","1,025.95","1,024.05","1,032.00","1,030.95","1,038.60","1,490.90","882.40","5,64,812","58,66,10,966.15","22,746"
"30-Nov-2018","EQ","1,006.00","1,029.00","1,006.00","1,002.45","1,029.00","1,024.05","1,021.25","1,490.90","882.40","7,63,019","77,92,36,569.30","28,833"
"29-Nov-2018","EQ","1,018.90","1,023.05","998.70","1,016.70","1,003.35","1,002.45","1,005.37","1,490.90","882.40","4,99,266","50,19,45,568.40","29,331"
"28-Nov-2018","EQ","1,009.80","1,028.50","1,006.00","1,002.10","1,014.90","1,016.70","1,020.36","1,490.90","882.40","9,66,896","98,65,86,270.90","32,790"
"27-Nov-2018","EQ","996.30","1,015.25","995.40","994.15","1,003.45","1,002.10","1,008.00","1,490.90","882.40","9,65,929","97,36,54,210.90","35,915"
"26-Nov-2018","EQ","989.25","997.00","958.25","992.00","996.30","994.15","976.41","1,490.90","882.40","10,19,523","99,54,69,328.55","37,741"
"22-Nov-2018","EQ","979.90","1,002.00","977.00","973.40","987.05","992.00","991.26","1,490.90","882.40","9,87,210","97,85,85,931.30","40,977"
"21-Nov-2018","EQ","986.80","987.00","957.00","989.10","979.10","973.40","966.48","1,490.90","882.40","10,00,494","96,69,55,794.55","37,250"
"20-Nov-2018","EQ","982.00","1,007.00","972.70","982.70","982.65","989.10","993.30","1,490.90","882.40","7,62,892","75,77,83,371.80","32,619"
"19-Nov-2018","EQ","962.55","987.00","952.70","962.55","985.00","982.70","976.41","1,490.90","882.40","7,74,806","75,65,27,548.40","32,773"
"16-Nov-2018","EQ","1,002.80","1,005.95","957.00","997.30","962.00","962.55","971.83","1,490.90","862.80","11,72,774","1,13,97,37,545.45","43,073"
"15-Nov-2018","EQ","995.50","1,010.75","993.00","993.95","996.85","997.30","1,001.48","1,490.90","862.80","4,02,804","40,33,99,365.40","20,839"
"14-Nov-2018","EQ","1,013.80","1,016.75","987.50","1,008.80","992.35","993.95","995.24","1,490.90","862.80","6,34,760","63,17,38,687.50","28,330"
"13-Nov-2018","EQ","992.25","1,012.70","985.00","996.25","1,010.75","1,008.80","1,000.40","1,490.90","862.80","6,11,643","61,18,88,424.25","29,957"
"12-Nov-2018","EQ","1,031.50","1,034.70","992.00","1,028.55","993.75","996.25","1,006.52","1,490.90","862.80","9,31,101","93,71,71,904.65","54,396"
"09-Nov-2018","EQ","1,049.00","1,058.90","1,022.50","1,056.75","1,028.00","1,028.55","1,037.15","1,490.90","839.70","5,25,735","54,52,68,590.60","31,102"
"07-Nov-2018","EQ","1,053.10","1,062.00","1,053.10","1,048.05","1,056.10","1,056.75","1,056.67","1,490.90","839.70","58,492","6,18,06,726.20","2,825"
"06-Nov-2018","EQ","1,065.00","1,080.80","1,041.90","1,064.15","1,043.70","1,048.05","1,056.15","1,490.90","839.70","4,86,773","51,41,05,684.40","27,839"
"05-Nov-2018","EQ","1,051.90","1,090.00","1,040.30","1,047.30","1,062.60","1,064.15","1,072.24","1,490.90","839.70","9,69,015","1,03,90,20,788.40","46,253"
"02-Nov-2018","EQ","1,082.25","1,085.50","1,041.45","1,074.80","1,047.30","1,047.30","1,062.47","1,490.90","829.20","5,65,657","60,09,94,841.20","30,981"
"01-Nov-2018","EQ","1,043.95","1,082.00","1,037.10","1,034.95","1,076.00","1,074.80","1,066.99","1,490.90","829.20","11,78,992","1,25,79,78,287.90","60,831"
"31-Oct-2018","EQ","1,017.00","1,040.00","1,007.40","1,010.40","1,036.65","1,034.95","1,026.21","1,490.90","829.20","7,86,249","80,68,56,517.35","44,966"
"30-Oct-2018","EQ","989.00","1,019.00","983.00","990.15","1,011.00","1,010.40","1,008.51","1,490.90","829.20","6,95,637","70,15,57,708.90","35,255"
"29-Oct-2018","EQ","970.00","994.50","960.50","967.10","989.60","990.15","982.46","1,490.90","829.20","4,76,998","46,86,32,006.35","23,348"
"26-Oct-2018","EQ","958.00","976.00","923.85","955.35","967.90","967.10","950.30","1,490.90","821.20","7,37,378","70,07,31,717.90","42,769"
"25-Oct-2018","EQ","962.10","970.00","952.40","974.65","955.35","955.35","959.36","1,490.90","821.20","5,62,811","53,99,35,755.65","24,656"
"24-Oct-2018","EQ","980.00","986.50","946.15","973.15","981.45","974.65","961.26","1,490.90","821.20","9,88,550","95,02,49,894.95","41,493"
"23-Oct-2018","EQ","987.10","994.60","960.00","998.35","974.00","973.15","972.30","1,490.90","821.20","7,10,778","69,10,92,818.60","28,927"
"22-Oct-2018","EQ","992.40","1,015.00","961.00","982.65","1,002.60","998.35","990.15","1,490.90","821.20","8,39,503","83,12,31,866.25","30,137"
"19-Oct-2018","EQ","989.90","994.25","953.00","990.95","985.00","982.65","974.04","1,490.90","821.20","8,14,011","79,28,78,049.60","28,930"
"17-Oct-2018","EQ","1,055.00","1,055.90","984.60","1,040.70","986.90","990.95","1,017.57","1,490.90","821.20","10,83,306","1,10,23,37,687.00","39,802"
"16-Oct-2018","EQ","993.80","1,045.00","991.80","988.15","1,045.00","1,040.70","1,017.73","1,490.90","821.20","11,44,001","1,16,42,85,849.80","33,343"
"15-Oct-2018","EQ","978.00","999.75","978.00","973.15","992.80","988.15","988.56","1,490.90","821.20","6,58,740","65,12,04,047.90","20,638"
"12-Oct-2018","EQ","993.25","1,008.40","968.95","975.20","974.00","973.15","984.61","1,490.90","821.20","10,23,856","1,00,80,94,435.95","40,769"
"11-Oct-2018","EQ","983.00","1,005.50","965.10","1,016.55","977.55","975.20","984.54","1,490.90","821.20","8,59,089","84,58,09,299.00","37,754"
"10-Oct-2018","EQ","968.20","1,025.00","968.15","968.20","1,012.00","1,016.55","1,002.96","1,490.90","821.20","12,94,588","1,29,84,22,148.85","45,920"
"09-Oct-2018","EQ","1,000.00","1,002.00","951.60","1,006.95","967.00","968.20","970.09","1,490.90","821.20","28,37,487","2,75,26,18,823.95","1,07,419"
"08-Oct-2018","EQ","1,145.10","1,163.60","922.00","1,138.15","988.10","1,006.95","1,075.95","1,490.90","821.20","31,39,486","3,37,79,22,512.95","1,07,833"
"05-Oct-2018","EQ","1,147.00","1,170.00","1,126.10","1,151.05","1,138.20","1,138.15","1,144.34","1,490.90","795.05","6,00,787","68,75,05,021.05","23,898"
"04-Oct-2018","EQ","1,172.00","1,190.00","1,141.30","1,187.40","1,147.00","1,151.05","1,166.42","1,490.90","795.05","5,57,405","65,01,68,061.45","19,301"
"03-Oct-2018","EQ","1,166.25","1,211.40","1,161.15","1,161.75","1,187.45","1,187.40","1,193.66","1,490.90","795.05","10,37,247","1,23,81,16,948.90","38,661"
"01-Oct-2018","EQ","1,152.25","1,179.95","1,111.00","1,156.00","1,161.00","1,161.75","1,144.02","1,490.90","795.05","10,28,536","1,17,66,65,794.70","33,515"
"28-Sep-2018","EQ","1,187.70","1,200.00","1,131.10","1,175.90","1,150.35","1,156.00","1,170.04","1,490.90","792.30","8,21,358","96,10,18,316.75","31,554"
"27-Sep-2018","EQ","1,186.80","1,200.70","1,164.00","1,186.85","1,184.80","1,175.90","1,178.34","1,490.90","792.30","6,28,163","74,01,89,266.60","19,163"
"26-Sep-2018","EQ","1,238.95","1,238.95","1,178.15","1,233.90","1,182.00","1,186.85","1,200.87","1,490.90","792.30","8,24,655","99,03,00,328.40","28,767"
"25-Sep-2018","EQ","1,258.90","1,264.95","1,204.80","1,261.40","1,226.70","1,233.90","1,241.05","1,490.90","792.30","5,98,109","74,22,86,115.55","30,504"
"24-Sep-2018","EQ","1,296.00","1,297.40","1,250.00","1,295.65","1,254.40","1,261.40","1,269.73","1,490.90","792.30","3,88,558","49,33,64,047.05","16,173"
"21-Sep-2018","EQ","1,340.00","1,350.00","1,209.65","1,332.85","1,300.00","1,295.65","1,312.67","1,490.90","792.30","6,18,629","81,20,57,293.30","18,570"
"19-Sep-2018","EQ","1,333.50","1,352.40","1,317.00","1,325.95","1,337.00","1,332.85","1,338.34","1,490.90","792.30","4,91,563","65,78,76,492.25","16,466"
"18-Sep-2018","EQ","1,369.00","1,372.00","1,319.70","1,365.00","1,330.60","1,325.95","1,346.18","1,490.90","792.30","3,37,963","45,49,60,606.50","9,647"
"17-Sep-2018","EQ","1,345.00","1,378.00","1,332.15","1,345.95","1,365.10","1,365.00","1,367.16","1,490.90","792.30","6,54,525","89,48,40,572.50","21,270"
"14-Sep-2018","EQ","1,338.50","1,357.00","1,323.10","1,334.15","1,344.00","1,345.95","1,343.79","1,839.95","792.30","5,28,257","70,98,69,087.25","18,916"
"12-Sep-2018","EQ","1,307.50","1,345.00","1,285.80","1,311.90","1,329.10","1,334.15","1,321.94","1,839.95","792.30","7,54,305","99,71,48,468.25","27,266"
"11-Sep-2018","EQ","1,353.60","1,355.00","1,306.55","1,349.65","1,310.00","1,311.90","1,326.28","1,839.95","792.30","6,98,408","92,62,82,869.95","26,242"
"10-Sep-2018","EQ","1,363.00","1,375.00","1,345.00","1,363.05","1,348.95","1,349.65","1,357.38","1,839.95","792.30","4,47,087","60,68,65,058.90","14,860"
"07-Sep-2018","EQ","1,353.90","1,379.40","1,342.00","1,352.50","1,361.65","1,363.05","1,363.08","1,839.95","792.30","5,09,051","69,38,78,552.60","17,574"
