# CSV-File created with merge-csv.com
# -----------------------------------------------------------

﻿"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jul-2024","EQ","11,220.00","11,225.00","10,699.60","10,941.95","10,877.00","10,822.30","10,908.43","11,240.00","3,779.25","5,52,895","6,03,12,18,084.00","63,977"
"18-Jul-2024","EQ","11,044.05","11,204.20","10,827.35","11,092.60","10,955.00","10,941.95","10,935.78","11,240.00","3,779.25","4,86,345","5,31,85,59,843.00","62,624"
"16-Jul-2024","EQ","10,950.00","11,240.00","10,925.00","10,922.75","11,076.00","11,092.60","11,090.91","11,240.00","3,779.25","5,04,778","5,59,84,48,955.65","59,720"
"15-Jul-2024","EQ","10,691.95","11,169.20","10,582.50","10,556.85","10,925.00","10,922.75","10,953.79","11,169.20","3,779.25","8,13,652","8,91,25,70,398.00","1,02,177"
"12-Jul-2024","EQ","10,290.00","10,709.95","10,128.20","10,151.95","10,520.00","10,556.85","10,497.07","10,709.95","3,737.25","4,85,528","5,09,66,21,997.65","75,838"
"11-Jul-2024","EQ","10,340.00","10,350.00","10,032.35","10,250.50","10,152.60","10,151.95","10,157.31","10,529.95","3,737.25","1,54,221","1,56,64,70,430.80","25,082"
"10-Jul-2024","EQ","10,300.00","10,373.55","10,051.00","10,368.90","10,249.00","10,250.50","10,209.31","10,529.95","3,737.25","1,74,464","1,78,11,57,626.15","32,693"
"09-Jul-2024","EQ","10,386.00","10,424.95","10,233.00","10,360.35","10,360.00","10,368.90","10,334.79","10,529.95","3,737.25","1,00,783","1,04,15,71,314.25","23,620"
"08-Jul-2024","EQ","10,478.90","10,500.00","10,320.85","10,425.45","10,336.10","10,360.35","10,390.19","10,529.95","3,737.25","83,115","86,35,80,712.35","19,969"
"05-Jul-2024","EQ","10,488.00","10,488.00","10,370.05","10,436.75","10,434.00","10,425.45","10,422.87","10,529.95","3,737.25","85,779","89,40,63,298.35","16,674"
"04-Jul-2024","EQ","10,431.25","10,529.95","10,375.00","10,431.25","10,430.20","10,436.75","10,467.15","10,529.95","3,737.25","2,20,337","2,30,63,01,449.15","33,450"
"03-Jul-2024","EQ","10,250.10","10,448.70","10,231.00","10,234.70","10,416.00","10,431.25","10,361.06","10,448.70","3,737.25","2,20,559","2,28,52,24,166.35","38,406"
"02-Jul-2024","EQ","10,261.00","10,342.80","10,082.00","10,194.25","10,244.00","10,234.70","10,229.54","10,420.00","3,737.25","2,36,562","2,41,99,20,977.10","40,561"
"01-Jul-2024","EQ","9,905.20","10,420.00","9,890.15","9,882.25","10,199.00","10,194.25","10,239.73","10,420.00","3,737.25","8,83,013","9,04,18,13,217.10","1,01,329"
"28-Jun-2024","EQ","9,875.00","10,050.00","9,688.50","9,854.80","9,884.00","9,882.25","9,867.47","10,050.00","3,737.25","4,98,811","4,92,20,02,972.00","46,981"
"27-Jun-2024","EQ","9,476.00","9,909.20","9,449.00","9,492.10","9,895.00","9,854.80","9,694.40","9,975.00","3,737.25","5,01,309","4,85,98,87,857.30","65,737"
"26-Jun-2024","EQ","9,770.00","9,770.40","9,460.60","9,727.05","9,475.00","9,492.10","9,556.11","9,975.00","3,737.25","1,77,017","1,69,15,94,262.25","28,680"
"25-Jun-2024","EQ","9,782.10","9,819.45","9,692.85","9,782.05","9,722.00","9,727.05","9,750.69","9,975.00","3,737.25","1,22,156","1,19,11,05,771.65","17,285"
"24-Jun-2024","EQ","9,660.05","9,810.45","9,605.00","9,738.90","9,786.00","9,782.05","9,734.04","9,975.00","3,737.25","1,78,150","1,73,41,19,818.15","25,707"
"21-Jun-2024","EQ","9,815.30","9,965.30","9,690.05","9,735.80","9,720.90","9,738.90","9,809.82","9,975.00","3,737.25","3,01,582","2,95,84,63,790.65","37,414"
"20-Jun-2024","EQ","9,830.10","9,925.00","9,701.00","9,833.35","9,753.20","9,735.80","9,791.61","9,975.00","3,737.25","2,39,347","2,34,35,92,793.70","35,676"
"19-Jun-2024","EQ","9,695.00","9,975.00","9,533.65","9,641.85","9,830.00","9,833.35","9,816.62","9,975.00","3,737.25","6,02,326","5,91,28,06,596.55","83,349"
"18-Jun-2024","EQ","9,550.00","9,879.00","9,522.25","9,510.70","9,650.50","9,641.85","9,710.03","9,879.00","3,737.25","6,23,177","6,05,10,70,312.40","73,814"
