,"Basic EPS (Rs.)","Diluted EPS (Rs.)","Cash EPS (Rs.)","Book Value [ExclRevalReserve]/Share (Rs.)","Book Value [InclRevalReserve]/Share (Rs.)","Dividend / Share (Rs.)","Revenue from Operations/Share (Rs.)","PBDIT/Share (Rs.)","PBIT/Share (Rs.)","PBT/Share (Rs.)","Net Profit/Share (Rs.)","PBDIT Margin (%)","PBIT Margin (%)","PBT Margin (%)","Net Profit Margin (%)","Return on Networth / Equity (%)","Return on Capital Employed (%)","Return on Assets (%)","Total Debt/Equity (X)","Asset Turnover Ratio (%)","Current Ratio (X)","Quick Ratio (X)","Inventory Turnover Ratio (X)","Dividend Payout Ratio (NP) (%)","Dividend Payout Ratio (CP) (%)","Earnings Retention Ratio (%)","Cash Earnings Retention Ratio (%)","EV/Net Operating Revenue (X)","EV/EBITDA (X)","MarketCap/Net Operating Revenue (X)","Retention Ratios (%)","Price/BV (X)","Price/Net Operating Revenue","Earnings Yield"
2024,234.27,232.78,240.87,713.52,713.52,240.00,579.80,311.29,304.40,304.15,233.98,53.68,52.49,52.45,40.35,32.79,41.36,29.44,0.00,0.74,9.37,9.37,0.00,95.95,93.21,4.05,6.79,14.46,26.94,15.12,4.04,12.29,15.12,0.03
2023,205.25,204.37,211.91,695.09,695.09,225.00,508.01,278.34,271.58,271.21,205.16,54.78,53.45,53.38,40.38,29.51,37.87,26.70,0.00,0.67,10.10,10.10,0.00,0.00,0.00,0.00,0.00,5.64,10.29,6.43,0.00,4.70,6.43,0.06
2022,210.19,209.08,217.89,672.78,672.78,190.00,451.75,283.77,275.88,275.51,210.00,62.81,61.07,60.98,46.48,31.21,39.62,28.11,0.00,0.62,9.85,9.85,0.00,95.09,91.65,4.91,8.35,7.08,11.26,7.95,4.90,5.34,7.95,0.06
2021,190.64,189.80,199.80,656.04,656.04,200.00,423.56,264.10,254.78,254.22,190.48,62.35,60.15,60.02,44.97,29.03,37.82,26.49,0.00,0.59,10.56,10.56,0.00,94.38,89.97,5.62,10.03,6.64,10.65,7.55,5.61,4.88,7.55,0.06
2020,184.39,183.62,193.97,641.40,641.40,180.00,410.52,244.50,234.82,233.88,184.29,59.55,57.20,56.97,44.89,28.73,35.68,26.08,0.00,58.11,9.61,9.61,0.00,0.00,0.00,0.00,0.00,4.03,6.76,4.95,0.00,3.17,4.95,0.09
2019,149.77,149.01,155.36,452.36,452.36,0.00,417.45,237.42,231.57,231.57,149.51,56.87,55.47,55.47,35.81,33.05,49.79,28.84,0.00,80.55,5.57,5.57,0.00,86.80,83.53,13.20,16.47,7.64,13.43,8.11,13.19,7.49,8.11,0.04
2018,117.91,117.21,124.49,445.71,445.71,130.00,452.11,180.79,174.08,174.08,117.78,39.98,38.50,38.50,26.05,26.42,38.00,21.63,0.00,83.03,3.85,3.85,0.00,0.27,0.25,99.73,99.75,7.79,19.47,8.27,99.72,8.39,8.27,0.03
2017,151.57,151.06,159.20,314.42,314.42,170.00,439.02,180.14,172.30,197.71,151.35,41.03,39.24,45.03,34.47,48.13,53.00,25.24,0.00,73.22,1.41,1.41,0.00,178.31,169.52,-78.31,-69.52,8.03,19.57,8.68,-78.31,12.13,8.68,0.04
2016,105.95,105.38,111.66,466.35,466.35,100.00,415.81,178.88,173.01,173.01,105.80,43.01,41.60,41.60,25.44,22.68,36.34,17.87,0.00,70.25,3.38,3.38,0.00,169.97,161.04,-69.97,-61.04,7.86,18.28,8.48,-69.97,7.56,8.48,0.03
2015,125.38,125.38,132.54,353.45,353.45,665.00,394.86,198.20,190.70,190.70,125.04,50.19,48.29,48.29,31.66,35.37,34.50,18.23,0.00,57.57,1.47,1.47,0.00,531.63,501.56,-431.63,-401.56,7.35,14.64,8.25,-431.63,9.22,8.25,0.04
