"Key Financial Ratios (in Rs. Cr.)","MAR 24","MAR 23","MAR 22","MAR 21","MAR 20","MAR 19","MAR 18","MAR 17","MAR 16","MAR 15"
"PER SHARE RATIOS",,,,,,,,,,
"Basic EPS (Rs.)",5.50,4.11,9.64,8.48,7.36,7.91,5.70,6.03,56.57,145.91
"Diluted EPS (Rs.)",5.50,4.11,9.64,8.48,7.36,7.91,5.70,6.03,56.57,145.91
"Cash EPS (Rs.)",6.06,4.67,11.20,9.98,8.80,9.21,6.77,7.79,63.61,165.15
"Book Value [ExclRevalReserve]/Share (Rs.)",22.00,18.58,49.18,44.36,40.44,37.01,31.85,33.62,363.91,985.63
"Book Value [InclRevalReserve]/Share (Rs.)",22.00,18.58,49.18,44.36,40.44,37.01,31.85,33.62,363.91,985.63
"Dividend / Share (Rs.)",2.20,1.80,4.50,4.00,2.80,3.40,2.00,2.25,17.00,29.20
"Revenue from Operations/Share (Rs.)",27.59,24.14,62.85,57.72,53.03,49.60,42.36,38.56,303.96,855.33
"PBDIT/Share (Rs.)",7.87,6.03,14.54,13.57,11.62,12.44,9.03,10.00,82.93,202.66
"PBIT/Share (Rs.)",7.31,5.47,12.98,12.07,10.19,11.14,8.00,9.14,75.89,183.41
"PBT/Share (Rs.)",7.30,5.45,12.96,12.04,10.17,11.09,7.99,9.09,75.70,183.24
"Net Profit/Share (Rs.)",5.50,4.11,9.64,8.48,7.36,7.91,5.74,6.93,56.57,145.91
"PROFITABILITY RATIOS",,,,,,,,,,
"PBDIT Margin (%)",28.52,24.97,23.13,23.51,21.91,25.08,21.31,25.92,27.28,23.69
"PBIT Margin (%)",26.48,22.66,20.65,20.91,19.21,22.46,18.88,23.70,24.96,21.44
"PBT Margin (%)",26.44,22.58,20.62,20.86,19.18,22.36,18.87,23.56,24.90,21.42
"Net Profit Margin (%)",19.93,17.03,15.33,14.68,13.88,15.94,13.55,17.97,18.61,17.05
"Return on Networth / Equity (%)",24.99,22.13,19.60,19.11,18.20,21.36,18.02,20.61,15.54,14.80
"Return on Capital Employed (%)",31.11,27.49,22.72,23.93,22.29,27.05,22.51,24.18,14.66,14.01
"Return on Assets (%)",10.26,8.57,7.02,7.10,7.50,9.41,7.55,9.02,7.53,7.67
"Total Debt/Equity (X)",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
"Asset Turnover Ratio (%)",0.54,0.52,0.49,48.40,54.03,59.05,55.72,50.19,40.47,45.01
"LIQUIDITY RATIOS",,,,,,,,,,
"Current Ratio (X)",1.54,1.46,1.39,1.41,1.46,1.52,1.44,1.61,1.80,2.01
"Quick Ratio (X)",1.20,1.15,1.11,1.11,1.15,1.09,0.98,1.05,1.33,1.52
"Inventory Turnover Ratio (X)",1.52,1.57,1.55,2.84,3.26,2.74,2.27,1.77,1.75,2.03
"Dividend Payout Ratio (NP) (%)",0.00,41.33,43.56,49.54,42.10,26.54,44.85,39.80,30.05,20.01
"Dividend Payout Ratio (CP) (%)",0.00,36.39,37.49,42.08,35.23,22.80,38.03,35.42,26.72,17.68
"Earnings Retention Ratio (%)",0.00,58.67,56.44,50.46,57.90,73.46,55.15,60.20,69.95,79.99
"Cash Earnings Retention Ratio (%)",0.00,63.61,62.51,57.92,64.77,77.20,61.97,64.58,73.28,82.32
"VALUATION RATIOS",,,,,,,,,,
"Enterprise Value (Cr.)",136,287.82,63,298.10,43,876.57,25,473.66,16,558.42,21,849.50,33,906.53,31,148.83,21,936.06,20,896.47
"EV/Net Operating Revenue (X)",6.76,3.59,2.87,1.81,1.28,1.81,3.28,3.62,3.01,3.05
"EV/EBITDA (X)",23.69,14.36,12.38,7.70,5.85,7.21,15.41,13.95,11.02,12.89
"MarketCap/Net Operating Revenue (X)",7.30,4.04,3.35,2.17,1.40,1.88,3.35,4.06,4.01,3.91
"Retention Ratios (%)",0.00,58.66,56.43,50.45,57.89,73.45,55.14,60.19,69.94,79.98
"Price/BV (X)",9.16,5.25,4.29,2.82,1.84,2.52,4.46,4.65,3.35,3.40
"Price/Net Operating Revenue",7.30,4.04,3.35,2.17,1.40,1.88,3.35,4.06,4.01,3.91
"Earnings Yield",0.03,0.04,0.05,0.07,0.10,0.08,0.04,0.04,0.05,0.04
