,"Basic EPS (Rs.)","Diluted EPS (Rs.)","Cash EPS (Rs.)","Book Value [ExclRevalReserve]/Share (Rs.)","Book Value [InclRevalReserve]/Share (Rs.)","Dividend / Share (Rs.)","Revenue from Operations/Share (Rs.)","PBDIT/Share (Rs.)","PBIT/Share (Rs.)","PBT/Share (Rs.)","Net Profit/Share (Rs.)","PBDIT Margin (%)","PBIT Margin (%)","PBT Margin (%)","Net Profit Margin (%)","Return on Networth / Equity (%)","Return on Capital Employed (%)","Return on Assets (%)","Total Debt/Equity (X)","Asset Turnover Ratio (%)","Current Ratio (X)","Quick Ratio (X)","Inventory Turnover Ratio (X)","Dividend Payout Ratio (NP) (%)","Dividend Payout Ratio (CP) (%)","Earnings Retention Ratio (%)","Cash Earnings Retention Ratio (%)","EV/Net Operating Revenue (X)","EV/EBITDA (X)","MarketCap/Net Operating Revenue (X)","Retention Ratios (%)","Price/BV (X)","Price/Net Operating Revenue","Earnings Yield"
2024,127.21,127.18,143.18,402.34,402.34,70.00,570.38,187.61,171.64,168.39,127.21,32.89,30.09,29.52,22.30,31.61,38.99,24.85,0.00,1.19,5.69,5.69,235.38,47.63,42.32,52.37,57.68,13.26,40.30,13.64,52.36,19.34,13.64,0.02
2023,121.26,121.26,134.33,334.92,334.92,60.60,504.96,166.21,153.14,150.54,121.26,32.91,30.32,29.81,24.01,36.20,41.73,27.32,0.00,1.28,4.83,4.83,346.20,35.04,31.63,64.96,68.37,11.43,34.72,11.81,64.95,17.80,11.81,0.02
2022,88.26,88.26,97.15,257.06,257.06,42.50,396.75,130.11,121.22,119.71,88.26,32.79,30.55,30.17,22.24,34.33,42.91,25.34,0.00,1.27,4.13,4.13,360.29,54.38,49.40,45.62,50.60,21.89,66.76,22.28,45.61,34.39,22.28,0.01
2021,59.11,59.11,66.24,217.12,217.12,48.00,293.23,90.27,83.15,82.19,59.11,30.78,28.35,28.02,20.15,27.22,35.65,21.44,0.00,1.18,5.26,5.26,82.66,27.91,24.91,72.09,75.09,8.71,28.31,9.19,72.08,12.40,9.19,0.02
2020,41.12,41.12,48.09,175.03,175.03,16.50,258.50,64.46,57.49,56.59,41.12,24.93,22.23,21.89,15.90,23.49,30.55,18.43,0.00,115.90,5.53,5.52,940.34,39.57,33.83,60.43,66.17,2.02,8.12,2.44,60.42,3.60,2.44,0.07
2019,46.56,46.56,50.59,151.38,151.38,13.50,256.43,73.62,69.59,69.59,46.56,28.71,27.13,27.13,18.15,30.75,45.30,25.36,0.00,139.66,5.39,5.39,960.68,28.48,26.21,71.52,73.79,3.43,11.96,3.76,71.51,6.36,3.76,0.05
2018,38.54,38.54,42.62,118.56,118.56,11.00,222.60,62.51,58.43,58.43,38.54,28.07,26.25,26.25,17.31,32.50,31.70,25.30,0.00,146.14,4.23,4.23,0.00,24.98,22.59,75.02,77.41,4.14,14.75,4.43,75.01,8.31,4.43,0.04
2017,56.13,56.13,64.78,179.09,179.09,16.00,397.36,93.51,84.87,84.87,56.13,23.53,21.35,21.35,14.12,31.34,45.27,24.43,0.00,172.95,4.30,4.30,0.00,30.01,26.01,69.99,73.99,3.48,14.78,3.68,69.98,8.17,3.68,0.04
2016,49.72,49.72,56.98,123.86,123.86,14.00,345.30,83.16,75.90,75.90,49.72,24.08,21.98,21.98,14.39,40.13,38.32,25.81,0.00,179.30,2.32,2.32,0.00,28.15,24.57,71.85,75.43,5.28,21.91,5.45,71.84,15.18,5.45,0.03
2015,33.05,33.05,41.25,91.00,91.00,11.00,272.78,58.29,50.09,50.09,33.05,21.37,18.36,18.36,12.11,36.31,34.98,22.11,0.00,182.52,1.91,1.91,2939.10,33.28,26.66,66.72,73.34,4.09,19.14,4.25,66.71,12.73,4.25,0.03
