,"Basic EPS (Rs.)","Diluted EPS (Rs.)","Cash EPS (Rs.)","Book Value [ExclRevalReserve]/Share (Rs.)","Book Value [InclRevalReserve]/Share (Rs.)","Dividend / Share (Rs.)","Revenue from Operations/Share (Rs.)","PBDIT/Share (Rs.)","PBIT/Share (Rs.)","PBT/Share (Rs.)","Net Profit/Share (Rs.)","PBDIT Margin (%)","PBIT Margin (%)","PBT Margin (%)","Net Profit Margin (%)","Return on Networth / Equity (%)","Return on Capital Employed (%)","Return on Assets (%)","Total Debt/Equity (X)","Asset Turnover Ratio (%)","Current Ratio (X)","Quick Ratio (X)","Inventory Turnover Ratio (X)","Dividend Payout Ratio (NP) (%)","Dividend Payout Ratio (CP) (%)","Earnings Retention Ratio (%)","Cash Earnings Retention Ratio (%)","EV/Net Operating Revenue (X)","EV/EBITDA (X)","MarketCap/Net Operating Revenue (X)","Retention Ratios (%)","Price/BV (X)","Price/Net Operating Revenue","Earnings Yield"
2024,21.75,21.69,30.13,237.19,237.19,40.00,430.99,37.12,28.78,26.26,21.79,8.61,6.67,6.09,5.05,9.18,10.88,6.14,0.00,1.19,1.90,1.90,0.00,201.55,145.75,-101.55,-45.75,2.87,33.26,2.90,-101.55,5.27,2.90,0.02
2023,38.69,38.54,47.12,254.79,254.79,50.00,437.87,60.54,52.20,50.34,38.78,13.82,11.92,11.49,8.85,15.21,19.23,10.48,0.00,1.20,1.81,1.81,0.00,123.63,101.74,-23.63,-1.74,2.49,18.00,2.52,-23.63,4.32,2.52,0.04
2022,50.48,50.11,57.35,265.96,265.96,45.00,357.34,72.11,65.32,64.67,50.56,20.18,18.28,18.09,14.14,19.00,22.37,14.03,0.00,1.02,2.56,2.56,0.00,88.79,78.27,11.21,21.73,4.16,20.60,4.20,11.20,5.64,4.20,0.03
2021,43.76,43.41,50.62,258.32,258.32,45.00,306.14,64.57,57.73,57.08,43.78,21.09,18.85,18.64,14.30,16.94,20.39,12.70,0.00,0.93,3.36,3.36,0.00,45.61,39.44,54.39,60.56,3.20,15.18,3.24,54.38,3.84,3.24,0.04
2020,46.89,46.56,53.86,230.61,230.61,15.00,302.60,62.81,55.90,55.21,46.95,20.75,18.47,18.24,15.51,20.35,21.93,14.95,0.00,96.38,3.16,3.16,0.00,60.69,52.90,39.31,47.10,1.80,8.69,1.87,39.30,2.45,1.87,0.08
2019,44.58,43.93,51.24,209.94,209.94,14.00,276.79,62.33,55.63,55.19,44.54,22.51,20.09,19.93,16.09,21.21,24.31,14.43,0.00,89.71,2.28,2.28,0.00,31.42,27.32,68.58,72.68,2.76,12.26,2.80,68.57,3.70,2.80,0.06
2018,40.84,40.53,47.53,199.50,199.50,14.00,241.59,57.52,50.82,50.10,40.83,23.80,21.03,20.73,16.90,20.46,22.85,14.92,0.01,88.29,2.85,2.85,0.00,25.90,22.25,74.10,77.75,2.57,10.78,2.64,74.09,3.20,2.64,0.06
2017,31.37,30.94,37.69,173.46,173.46,9.00,237.94,46.88,40.49,39.84,31.30,19.70,17.01,16.74,13.15,18.04,20.70,12.84,0.01,97.60,2.80,2.80,0.00,45.24,37.57,54.76,62.43,1.85,9.38,1.93,54.75,2.65,1.93,0.07
2016,33.40,32.71,38.91,140.03,140.03,12.00,216.67,46.73,41.09,40.54,33.27,21.56,18.96,18.70,15.35,23.75,21.04,15.59,0.01,101.54,2.29,2.29,0.00,36.09,30.86,63.91,69.14,2.05,9.49,2.19,63.90,3.40,2.19,0.07
2015,23.58,22.96,28.41,117.15,117.15,6.00,199.45,34.88,29.95,30.50,23.48,17.48,15.01,15.29,11.77,20.04,22.45,13.25,0.00,112.61,2.26,2.26,0.00,25.67,21.22,74.33,78.78,3.06,17.50,3.16,74.32,5.37,3.16,0.04
