"Key Financial Ratios","MAR 24","MAR 23","MAR 22","MAR 21","MAR 20","MAR 19","MAR 18","MAR 17","MAR 16","MAR 15"
"Basic EPS (Rs.)",17.24,16.75,22.20,17.81,14.88,12.67,16.26,33.61,33.38,33.38
"Diluted EPS (Rs.)",17.19,16.75,22.14,17.77,14.84,12.67,16.23,33.51,33.31,33.28
"Cash EPS (Rs.)",20.31,19.62,24.85,20.83,17.19,14.17,19.31,37.89,36.74,36.34
"Book Value [ExclRevalReserve]/Share (Rs.)",110.59,114.36,99.14,82.57,81.31,81.86,93.42,192.16,166.87,140.25
"Book Value [InclRevalReserve]/Share (Rs.)",110.59,114.36,99.14,82.57,81.31,81.86,93.42,192.16,166.87,140.25
"Dividend / Share (Rs.)",1.00,1.00,6.00,1.00,1.00,1.00,1.00,2.00,6.00,12.00
"Revenue from Operations/Share (Rs.)",127.83,123.46,108.67,91.80,88.22,79.75,98.83,189.46,180.86,166.94
"PBDIT/Share (Rs.)",28.19,26.40,31.22,26.35,22.20,18.78,25.27,50.21,48.65,47.39
"PBIT/Share (Rs.)",25.33,23.50,28.51,23.89,20.20,17.23,23.03,45.90,45.11,44.24
"PBT/Share (Rs.)",23.77,22.36,27.84,23.15,19.27,16.36,22.18,43.97,42.88,42.77
"Net Profit/Share (Rs.)",17.45,16.72,22.14,18.36,15.19,12.62,17.07,33.58,33.19,33.19
"PBDIT Margin (%)",22.05,21.38,28.73,28.70,25.16,23.54,25.57,26.50,26.90,28.38
"PBIT Margin (%)",19.81,19.03,26.23,26.01,22.89,21.60,23.30,24.22,24.94,26.49
"PBT Margin (%)",18.59,18.10,25.62,25.21,21.83,20.51,22.44,23.20,23.71,25.61
"Net Profit Margin (%)",13.65,13.54,20.36,20.00,17.22,15.82,17.27,17.72,18.35,19.88
"Return on Networth / Equity (%)",15.78,14.62,22.32,22.23,18.68,15.41,18.27,17.47,19.89,23.66
"Return on Capital Employed (%)",20.94,19.40,27.32,27.49,23.62,20.44,23.87,22.61,18.75,22.73
"Return on Assets (%)",11.16,10.75,15.09,15.30,13.29,11.36,13.16,12.92,13.91,15.34
"Total Debt/Equity (X)",0.07,0.08,0.14,0.13,0.11,0.10,0.11,0.13,0.16,0.17
"Asset Turnover Ratio (%)",0.80,0.82,0.82,0.77,77.18,71.82,76.20,72.91,75.82,77.15
"Current Ratio (X)",2.74,2.86,2.23,2.50,2.78,2.96,2.86,3.52,2.98,2.30
"Quick Ratio (X)",2.74,2.86,2.23,2.50,2.77,2.94,2.84,3.50,2.94,2.27
"Inventory Turnover Ratio (X)",0.00,0.00,0.00,0.00,289.53,141.42,151.92,129.38,84.91,85.96
"Dividend Payout Ratio (NP) (%)",5.72,5.97,27.10,5.44,7.93,7.16,7.05,10.75,43.49,36.17
"Dividend Payout Ratio (CP) (%)",4.92,5.09,24.14,4.80,7.01,6.38,6.23,9.52,39.30,33.03
"Earnings Retention Ratio (%)",94.28,94.03,72.90,94.56,92.07,92.84,92.95,89.25,56.51,63.83
"Cash Earnings Retention Ratio (%)",95.08,94.91,75.86,95.20,92.99,93.62,93.77,90.48,60.70,66.97
"Enterprise Value (Cr.)",251,210.53,201,130.34,327,315.40,222,962.28,106,910.41,148,400.15,129,726.08,127,904.12,137,462.82,145,338.53
"EV/Net Operating Revenue (X)",3.76,2.97,5.49,4.43,2.12,3.08,2.90,2.78,3.08,3.53
"EV/EBITDA (X)",17.06,13.88,19.12,15.44,8.43,13.10,11.35,10.48,11.44,12.42
"MarketCap/Net Operating Revenue (X)",3.76,2.96,5.45,4.51,2.23,3.19,2.85,2.72,3.11,3.76
"Retention Ratios (%)",94.27,94.02,72.89,94.55,92.06,92.83,92.94,89.24,56.50,63.82
"Price/BV (X)",4.34,3.19,5.97,5.02,2.42,3.11,3.01,2.68,3.38,4.48
"Price/Net Operating Revenue",3.76,2.96,5.45,4.51,2.23,3.19,2.85,2.72,3.11,3.76
"Earnings Yield",0.04,0.05,0.04,0.04,0.08,0.05,0.06,0.07,0.06,0.05
