"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"31-Dec-2010","EQ","315.20","319.90","311.00","314.55","313.55","313.60","316.40","347.40","226.20","2,99,530","9,47,71,797.70","-"
"30-Dec-2010","EQ","311.80","317.00","308.00","309.55","314.50","314.55","313.62","347.40","226.20","4,23,602","13,28,50,767.10","-"
"29-Dec-2010","EQ","309.30","316.80","306.25","306.20","310.60","309.55","311.88","347.40","226.20","5,14,037","16,03,17,197.15","-"
"28-Dec-2010","EQ","294.40","309.70","293.35","292.30","306.05","306.20","305.37","347.40","226.20","9,14,413","27,92,35,958.25","-"
"27-Dec-2010","EQ","294.40","295.85","290.50","292.65","292.00","292.30","292.47","347.40","226.20","63,479","1,85,65,463.90","-"
"24-Dec-2010","EQ","288.60","296.00","286.00","288.85","292.00","292.65","292.15","347.40","226.20","1,28,077","3,74,17,839.70","-"
"23-Dec-2010","EQ","291.40","291.80","284.20","290.35","289.50","288.85","288.22","347.40","226.20","87,921","2,53,40,786.10","-"
"22-Dec-2010","EQ","293.85","296.50","289.00","292.75","292.00","290.35","293.18","347.40","226.20","96,776","2,83,72,708.80","-"
"21-Dec-2010","EQ","289.00","297.50","288.50","288.05","293.00","292.75","294.44","347.40","226.20","1,68,307","4,95,56,134.20","-"
"20-Dec-2010","EQ","294.00","295.70","284.10","294.50","287.50","288.05","291.01","347.40","226.20","2,42,444","7,05,53,733.20","-"
"16-Dec-2010","EQ","302.00","302.00","284.10","298.25","292.50","294.50","293.09","347.40","226.20","3,22,587","9,45,47,149.10","-"
"15-Dec-2010","EQ","292.00","301.35","284.50","291.85","299.00","298.25","295.24","347.40","226.20","6,38,955","18,86,42,711.20","-"
"14-Dec-2010","EQ","281.85","294.00","280.60","280.65","292.00","291.85","288.48","347.40","226.20","4,11,593","11,87,36,634.85","-"
"13-Dec-2010","EQ","266.10","284.00","255.00","262.00","280.00","280.65","276.81","347.40","226.20","5,60,960","15,52,78,739.15","-"
"10-Dec-2010","EQ","250.40","273.00","245.15","248.15","260.00","262.00","262.29","347.40","217.00","3,22,803","8,46,69,171.00","-"
"09-Dec-2010","EQ","260.20","263.50","240.10","260.50","248.60","248.15","243.80","347.40","217.00","10,99,009","26,79,35,418.00","-"
"08-Dec-2010","EQ","267.05","269.40","259.05","269.60","260.45","260.50","263.35","347.40","217.00","69,873","1,84,01,334.15","-"
"07-Dec-2010","EQ","272.00","272.50","265.00","269.40","269.15","269.60","268.59","347.40","217.00","81,054","2,17,70,060.40","-"
"06-Dec-2010","EQ","270.00","273.90","264.00","269.15","269.80","269.40","267.09","347.40","217.00","5,90,875","15,78,14,277.50","-"
"03-Dec-2010","EQ","279.85","282.70","265.10","278.55","269.50","269.15","271.31","347.40","167.10","1,14,993","3,11,99,130.80","-"
"02-Dec-2010","EQ","281.00","286.00","276.00","276.40","278.10","278.55","280.48","347.40","167.10","1,54,141","4,32,33,454.50","-"
"01-Dec-2010","EQ","266.00","283.40","265.20","268.00","274.30","276.40","278.55","347.40","167.10","3,18,044","8,85,90,388.85","-"
"30-Nov-2010","EQ","254.40","273.70","250.05","255.85","268.00","268.00","264.83","347.40","167.10","2,52,689","6,69,18,745.65","-"
