"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jul-2024","EQ","4,317.40","4,358.75","4,285.25","4,315.55","4,298.00","4,302.40","4,319.15","4,358.75","3,311.00","39,03,354","16,85,91,78,396.20","2,90,294"
"18-Jul-2024","EQ","4,160.00","4,325.00","4,160.00","4,178.45","4,297.20","4,315.55","4,271.66","4,325.00","3,311.00","56,13,364","23,97,83,61,639.45","3,61,931"
"16-Jul-2024","EQ","4,172.00","4,194.55","4,144.90","4,169.20","4,171.05","4,178.45","4,173.42","4,254.75","3,311.00","20,29,521","8,47,00,51,366.65","1,23,240"
"15-Jul-2024","EQ","4,235.70","4,240.00","4,157.05","4,183.95","4,167.35","4,169.20","4,204.15","4,254.75","3,311.00","48,48,030","20,38,18,43,135.15","2,38,210"
"12-Jul-2024","EQ","3,980.00","4,199.95","3,971.30","3,923.70","4,182.45","4,183.95","4,117.02","4,254.75","3,250.10","1,35,09,164","55,61,74,54,764.65","8,00,145"
"11-Jul-2024","EQ","3,931.00","3,980.00","3,895.60","3,909.15","3,902.00","3,923.70","3,928.74","4,254.75","3,250.10","48,72,189","19,14,15,49,805.05","2,14,372"
"10-Jul-2024","EQ","3,983.70","4,003.30","3,902.00","3,985.50","3,915.00","3,909.15","3,925.50","4,254.75","3,250.10","26,69,716","10,47,99,63,237.85","1,37,357"
"09-Jul-2024","EQ","3,985.00","4,006.95","3,975.10","3,993.20","3,983.70","3,985.50","3,990.33","4,254.75","3,250.10","13,05,801","5,21,05,79,214.45","1,42,268"
"08-Jul-2024","EQ","4,022.00","4,031.25","3,978.05","4,011.80","3,997.00","3,993.20","3,995.83","4,254.75","3,250.10","17,58,882","7,02,81,92,322.85","1,09,949"
"05-Jul-2024","EQ","4,010.00","4,026.75","3,988.00","4,020.95","4,010.00","4,011.80","4,007.40","4,254.75","3,250.10","16,68,616","6,68,68,08,295.40","1,20,737"
"04-Jul-2024","EQ","3,999.85","4,047.35","3,982.10","3,965.25","4,019.95","4,020.95","4,024.81","4,254.75","3,250.10","25,18,001","10,13,44,77,139.90","1,40,694"
"03-Jul-2024","EQ","4,020.00","4,026.10","3,955.00","4,017.40","3,968.00","3,965.25","3,969.17","4,254.75","3,250.10","18,21,198","7,22,86,50,456.40","1,31,803"
"02-Jul-2024","EQ","3,993.60","4,023.40","3,982.55","3,978.20","4,009.80","4,017.40","4,005.25","4,254.75","3,250.10","23,07,449","9,24,19,06,331.90","1,93,878"
"01-Jul-2024","EQ","3,884.00","4,001.70","3,884.00","3,904.15","3,963.45","3,978.20","3,968.40","4,254.75","3,250.10","26,58,723","10,55,08,77,400.50","1,52,648"
"28-Jun-2024","EQ","3,917.80","3,960.00","3,897.85","3,934.15","3,906.75","3,904.15","3,924.69","4,254.75","3,173.00","27,31,571","10,72,05,56,955.70","1,78,435"
"27-Jun-2024","EQ","3,831.00","3,942.00","3,818.10","3,855.85","3,928.00","3,934.15","3,897.23","4,254.75","3,173.00","45,26,556","17,64,10,07,616.50","3,08,765"
"26-Jun-2024","EQ","3,844.50","3,866.95","3,841.00","3,838.45","3,853.30","3,855.85","3,856.13","4,254.75","3,173.00","16,39,845","6,32,34,55,478.65","1,59,513"
"25-Jun-2024","EQ","3,817.00","3,847.65","3,792.90","3,816.80","3,840.00","3,838.45","3,822.40","4,254.75","3,173.00","13,38,808","5,11,74,58,194.40","1,40,971"
"24-Jun-2024","EQ","3,808.75","3,857.00","3,791.30","3,810.75","3,815.00","3,816.80","3,834.36","4,254.75","3,173.00","17,02,154","6,52,66,63,734.20","1,15,165"
"21-Jun-2024","EQ","3,827.00","3,877.80","3,798.05","3,787.25","3,802.00","3,810.75","3,827.86","4,254.75","3,173.00","46,42,195","17,76,96,72,677.30","2,06,639"
"20-Jun-2024","EQ","3,796.00","3,809.95","3,780.05","3,801.70","3,789.85","3,787.25","3,791.92","4,254.75","3,173.00","28,46,526","10,79,38,10,411.95","2,26,469"
"19-Jun-2024","EQ","3,827.65","3,833.85","3,792.95","3,815.10","3,801.00","3,801.70","3,806.93","4,254.75","3,173.00","15,09,050","5,74,48,44,872.30","1,11,353"
"18-Jun-2024","EQ","3,826.05","3,842.00","3,795.05","3,832.05","3,819.00","3,815.10","3,819.14","4,254.75","3,173.00","17,74,045","6,77,53,33,799.50","1,26,236"
"14-Jun-2024","EQ","3,889.00","3,889.00","3,828.00","3,878.15","3,833.00","3,832.05","3,842.00","4,254.75","3,156.00","18,60,730","7,14,89,28,964.95","1,33,590"
"13-Jun-2024","EQ","3,856.80","3,890.00","3,852.00","3,831.65","3,873.00","3,878.15","3,872.82","4,254.75","3,156.00","19,32,323","7,48,35,32,564.55","1,28,094"
"12-Jun-2024","EQ","3,874.40","3,893.50","3,827.45","3,852.10","3,837.00","3,831.65","3,853.40","4,254.75","3,156.00","21,77,001","8,38,88,48,726.55","1,42,302"
"11-Jun-2024","EQ","3,845.00","3,879.95","3,841.00","3,858.70","3,855.65","3,852.10","3,860.66","4,254.75","3,156.00","14,19,898","5,48,17,42,091.60","94,929"
"10-Jun-2024","EQ","3,895.00","3,905.90","3,841.90","3,893.95","3,859.00","3,858.70","3,864.83","4,254.75","3,156.00","17,34,661","6,70,41,74,826.45","1,17,061"
"07-Jun-2024","EQ","3,837.30","3,915.00","3,837.30","3,830.40","3,888.55","3,893.95","3,891.54","4,254.75","3,156.00","45,52,445","17,71,60,23,957.40","2,77,984"
"06-Jun-2024","EQ","3,781.00","3,839.90","3,741.50","3,746.45","3,836.00","3,830.40","3,796.58","4,254.75","3,156.00","43,28,036","16,43,17,36,429.50","2,81,068"
"05-Jun-2024","EQ","3,716.00","3,783.80","3,700.00","3,715.00","3,755.10","3,746.45","3,747.69","4,254.75","3,156.00","27,99,670","10,49,23,04,940.65","2,05,741"
"04-Jun-2024","EQ","3,700.00","3,745.00","3,591.50","3,702.85","3,732.55","3,715.00","3,694.29","4,254.75","3,156.00","33,95,997","12,54,57,96,705.45","2,74,839"
"03-Jun-2024","EQ","3,732.80","3,751.55","3,696.00","3,670.95","3,706.00","3,702.85","3,713.72","4,254.75","3,156.00","21,56,773","8,00,96,53,406.45","2,03,491"
"31-May-2024","EQ","3,740.00","3,749.80","3,653.75","3,736.10","3,698.00","3,670.95","3,684.36","4,254.75","3,156.00","1,09,56,800","40,36,88,44,653.20","3,23,000"
"30-May-2024","EQ","3,777.00","3,794.40","3,715.45","3,803.65","3,739.00","3,736.10","3,747.95","4,254.75","3,156.00","29,19,230","10,94,11,16,841.40","1,86,630"
"29-May-2024","EQ","3,848.90","3,848.90","3,800.00","3,839.90","3,803.00","3,803.65","3,817.18","4,254.75","3,156.00","15,68,095","5,98,57,00,080.40","1,18,150"
"28-May-2024","EQ","3,858.00","3,870.00","3,830.00","3,847.05","3,836.90","3,839.90","3,853.34","4,254.75","3,156.00","18,01,993","6,94,36,92,168.50","1,23,639"
"27-May-2024","EQ","3,855.00","3,908.35","3,841.35","3,849.50","3,847.65","3,847.05","3,879.60","4,254.75","3,156.00","18,41,538","7,14,44,26,662.95","1,60,642"
"24-May-2024","EQ","3,878.25","3,883.80","3,844.30","3,893.45","3,850.95","3,849.50","3,857.62","4,254.75","3,156.00","13,09,452","5,05,13,69,874.45","88,592"
"23-May-2024","EQ","3,840.95","3,905.00","3,825.50","3,832.00","3,899.00","3,893.45","3,871.28","4,254.75","3,156.00","20,95,742","8,11,32,03,579.00","1,31,534"
"22-May-2024","EQ","3,835.00","3,841.25","3,817.55","3,820.20","3,831.50","3,832.00","3,830.73","4,254.75","3,156.00","13,11,168","5,02,27,30,247.75","1,01,531"
"21-May-2024","EQ","3,830.60","3,844.75","3,810.05","3,851.45","3,825.00","3,820.20","3,820.18","4,254.75","3,156.00","19,08,117","7,28,93,43,660.90","2,00,205"
"18-May-2024","EQ","3,847.00","3,861.90","3,840.00","3,834.10","3,853.35","3,851.45","3,849.42","4,254.75","3,156.00","91,066","35,05,51,405.70","7,224"
"17-May-2024","EQ","3,919.00","3,920.00","3,830.00","3,900.95","3,839.00","3,834.10","3,866.19","4,254.75","3,156.00","27,65,804","10,69,31,18,517.05","1,97,919"
"16-May-2024","EQ","3,891.10","3,909.50","3,843.50","3,880.40","3,892.00","3,900.95","3,882.17","4,254.75","3,156.00","25,99,399","10,09,13,00,479.85","1,87,465"
"15-May-2024","EQ","3,904.50","3,926.95","3,875.50","3,901.20","3,882.70","3,880.40","3,891.38","4,254.75","3,156.00","11,15,021","4,33,89,65,538.50","88,516"
"14-May-2024","EQ","3,936.00","3,945.80","3,892.90","3,947.80","3,902.00","3,901.20","3,916.22","4,254.75","3,156.00","10,58,317","4,14,46,02,576.75","96,233"
"13-May-2024","EQ","3,884.50","3,955.00","3,870.00","3,893.90","3,947.00","3,947.80","3,923.12","4,254.75","3,156.00","9,31,326","3,65,37,00,402.95","96,702"
"10-May-2024","EQ","3,962.60","3,973.60","3,885.05","3,960.20","3,895.00","3,893.90","3,914.05","4,254.75","3,156.00","16,72,489","6,54,62,06,693.50","1,42,144"
"09-May-2024","EQ","3,962.00","3,971.00","3,910.05","3,976.95","3,956.00","3,960.20","3,948.51","4,254.75","3,156.00","17,26,486","6,81,70,49,440.40","1,56,265"
"08-May-2024","EQ","3,961.00","3,984.30","3,938.60","3,978.95","3,968.10","3,976.95","3,968.11","4,254.75","3,156.00","12,47,685","4,95,09,48,533.20","1,10,637"
"07-May-2024","EQ","3,930.80","3,988.00","3,913.50","3,921.05","3,975.20","3,978.95","3,951.55","4,254.75","3,156.00","20,62,112","8,14,85,36,133.15","1,28,480"
"06-May-2024","EQ","3,853.00","3,939.95","3,853.00","3,843.40","3,922.20","3,921.05","3,917.99","4,254.75","3,156.00","20,53,831","8,04,68,88,044.00","1,62,185"
"03-May-2024","EQ","3,890.15","3,893.60","3,797.60","3,863.30","3,838.00","3,843.40","3,839.84","4,254.75","3,156.00","29,62,234","11,37,45,19,156.95","1,93,038"
"02-May-2024","EQ","3,778.05","3,871.10","3,778.05","3,820.65","3,865.00","3,863.30","3,846.89","4,254.75","3,156.00","24,91,044","9,58,27,66,032.85","2,20,245"
"30-Apr-2024","EQ","3,872.00","3,881.75","3,810.00","3,870.20","3,823.95","3,820.65","3,841.42","4,254.75","3,156.00","22,03,078","8,46,29,54,749.45","1,44,940"
"29-Apr-2024","EQ","3,838.00","3,877.80","3,819.20","3,821.35","3,865.00","3,870.20","3,860.41","4,254.75","3,156.00","11,10,693","4,28,77,35,190.85","1,09,485"
"26-Apr-2024","EQ","3,855.15","3,876.80","3,802.55","3,852.20","3,823.45","3,821.35","3,838.36","4,254.75","3,126.15","20,39,178","7,82,70,90,898.40","1,65,343"
"25-Apr-2024","EQ","3,811.20","3,873.65","3,811.00","3,831.05","3,851.00","3,852.20","3,850.53","4,254.75","3,126.15","28,56,271","10,99,81,53,736.80","2,11,754"
"24-Apr-2024","EQ","3,890.00","3,898.00","3,824.45","3,874.70","3,835.00","3,831.05","3,853.73","4,254.75","3,126.15","13,17,312","5,07,65,58,245.00","1,13,695"
"23-Apr-2024","EQ","3,877.05","3,895.00","3,860.60","3,864.60","3,875.00","3,874.70","3,877.69","4,254.75","3,126.15","18,07,586","7,00,92,50,573.80","1,32,941"
"22-Apr-2024","EQ","3,837.00","3,878.00","3,812.00","3,826.20","3,875.90","3,864.60","3,841.58","4,254.75","3,126.15","17,28,883","6,64,16,43,736.05","99,078"
"19-Apr-2024","EQ","3,838.00","3,852.55","3,800.90","3,862.00","3,822.15","3,826.20","3,827.74","4,254.75","3,070.25","29,57,749","11,32,15,04,897.25","2,52,913"
"18-Apr-2024","EQ","3,876.80","3,936.00","3,850.00","3,872.80","3,871.00","3,862.00","3,891.42","4,254.75","3,070.25","34,76,284","13,52,76,91,591.60","1,91,254"
"16-Apr-2024","EQ","3,902.00","3,928.70","3,862.85","3,941.20","3,875.95","3,872.80","3,888.73","4,254.75","3,070.25","30,51,420","11,86,61,47,836.30","1,47,341"
"15-Apr-2024","EQ","4,001.40","4,064.20","3,919.05","4,001.40","3,940.80","3,941.20","3,990.50","4,254.75","3,070.25","42,00,329","16,76,14,16,762.10","2,45,404"
"12-Apr-2024","EQ","3,971.00","4,013.35","3,945.50","3,984.65","4,003.80","4,001.40","3,990.61","4,254.75","3,070.25","43,54,821","17,37,83,76,127.55","2,00,517"
"10-Apr-2024","EQ","3,956.40","3,990.20","3,918.00","3,946.55","3,980.75","3,984.65","3,956.43","4,254.75","3,070.25","21,01,965","8,31,62,67,625.30","1,08,594"
"09-Apr-2024","EQ","3,984.00","4,015.85","3,925.05","3,972.55","3,948.75","3,946.55","3,967.73","4,254.75","3,070.25","18,76,992","7,44,74,01,521.40","1,02,114"
"08-Apr-2024","EQ","3,983.00","4,032.65","3,960.00","3,979.25","3,964.90","3,972.55","4,000.29","4,254.75","3,070.25","23,02,538","9,21,08,23,451.50","1,45,126"
"05-Apr-2024","EQ","3,978.00","4,002.00","3,960.50","4,003.30","3,983.00","3,979.25","3,983.17","4,254.75","3,070.25","16,36,819","6,51,97,23,297.55","95,801"
"04-Apr-2024","EQ","3,975.90","4,028.65","3,935.25","3,947.30","4,000.00","4,003.30","3,983.10","4,254.75","3,070.25","33,94,637","13,52,11,78,797.20","1,96,204"
"03-Apr-2024","EQ","3,851.00","3,981.00","3,851.00","3,883.80","3,950.05","3,947.30","3,940.47","4,254.75","3,070.25","39,73,090","15,65,58,36,798.60","2,32,561"
"02-Apr-2024","EQ","3,890.00","3,909.85","3,873.00","3,916.75","3,890.20","3,883.80","3,886.53","4,254.75","3,070.25","21,42,666","8,32,75,25,479.35","1,52,218"
"01-Apr-2024","EQ","3,897.70","3,933.30","3,888.05","3,876.30","3,924.00","3,916.75","3,905.77","4,254.75","3,070.25","15,69,676","6,13,07,99,234.60","1,42,337"
"28-Mar-2024","EQ","3,850.10","3,915.00","3,840.50","3,840.90","3,882.10","3,876.30","3,880.57","4,254.75","3,070.25","43,11,783","16,73,21,86,615.05","2,42,073"
"27-Mar-2024","EQ","3,888.50","3,895.00","3,829.40","3,877.50","3,854.15","3,840.90","3,861.60","4,254.75","3,070.25","19,68,575","7,60,18,45,471.00","1,52,258"
"26-Mar-2024","EQ","3,875.00","3,946.70","3,871.45","3,910.90","3,883.00","3,877.50","3,894.29","4,254.75","3,070.25","34,40,925","13,39,99,53,628.95","1,76,329"
