"Date ","series ","OPEN ","HIGH ","LOW ","PREV. CLOSE ","ltp ","close ","vwap ","52W H ","52W L ","VOLUME ","VALUE ","No of trades "
"19-Jul-2024","EQ","579.90","579.90","554.70","573.20","557.00","557.20","564.95","579.90","375.05","1,32,61,745","7,49,22,08,987.85","1,73,832"
"18-Jul-2024","EQ","556.55","574.40","556.35","559.70","573.20","573.20","567.26","574.40","375.05","1,25,09,893","7,09,63,65,104.00","2,50,266"
"16-Jul-2024","EQ","561.85","562.60","556.40","559.70","559.50","559.70","559.14","566.90","375.05","56,19,531","3,14,21,08,459.55","1,38,520"
"15-Jul-2024","EQ","566.90","566.90","556.15","560.15","561.00","559.70","560.79","566.90","375.05","80,49,739","4,51,42,04,271.20","1,37,790"
"12-Jul-2024","EQ","545.00","564.80","541.55","534.10","559.00","560.15","555.57","564.80","375.05","2,70,93,021","15,05,20,05,876.20","2,98,553"
"11-Jul-2024","EQ","536.70","539.55","530.00","535.55","535.90","534.10","533.65","548.80","375.05","44,03,809","2,35,00,85,273.95","1,00,387"
"10-Jul-2024","EQ","541.00","543.35","531.75","541.00","534.50","535.55","536.48","548.80","375.05","46,16,874","2,47,68,64,488.70","74,450"
"09-Jul-2024","EQ","544.00","544.95","537.60","541.20","541.00","541.00","540.76","548.80","375.05","43,40,722","2,34,72,84,220.55","74,512"
"08-Jul-2024","EQ","535.95","543.00","535.00","535.10","542.20","541.20","540.02","548.80","375.05","60,88,180","3,28,77,39,222.20","1,21,678"
"05-Jul-2024","EQ","531.35","536.50","529.45","530.70","534.90","535.10","533.34","548.80","375.05","51,88,045","2,76,70,05,678.25","1,04,240"
"04-Jul-2024","EQ","541.40","548.80","529.10","539.00","532.25","530.70","537.46","548.80","375.05","97,62,316","5,24,68,59,994.65","1,27,355"
"03-Jul-2024","EQ","541.90","545.45","535.50","538.20","539.20","539.00","540.19","545.90","375.05","80,24,692","4,33,48,52,225.60","1,12,117"
"02-Jul-2024","EQ","529.30","545.00","528.30","527.35","538.35","538.20","538.33","545.90","375.05","1,81,38,484","9,76,44,57,855.70","2,31,000"
"01-Jul-2024","EQ","517.90","535.80","514.10","514.85","527.20","527.35","528.84","545.90","375.05","1,53,78,764","8,13,29,28,198.00","2,57,497"
"28-Jun-2024","EQ","512.00","516.30","505.85","510.80","513.80","514.85","512.44","545.90","375.05","82,02,916","4,20,34,97,643.45","1,17,062"
"27-Jun-2024","EQ","492.15","511.95","489.20","495.20","510.50","510.80","505.59","545.90","375.05","2,10,68,569","10,65,20,92,506.85","2,25,180"
"26-Jun-2024","EQ","496.85","499.90","493.80","496.85","494.50","495.20","495.95","545.90","375.05","64,06,045","3,17,70,96,996.05","1,13,867"
"25-Jun-2024","EQ","490.55","498.00","489.30","490.55","497.00","496.85","493.94","545.90","375.05","46,29,105","2,28,64,80,802.15","79,008"
"24-Jun-2024","EQ","490.10","494.90","489.45","490.55","490.80","490.55","491.78","545.90","375.05","49,67,259","2,44,27,84,735.70","73,973"
"21-Jun-2024","EQ","497.95","500.95","489.10","490.40","491.60","490.55","491.89","545.90","375.05","4,75,85,588","23,40,66,56,808.25","2,03,465"
"20-Jun-2024","EQ","497.50","497.50","488.25","495.75","491.00","490.40","491.98","545.90","375.05","62,85,563","3,09,23,91,359.80","1,08,929"
"19-Jun-2024","EQ","492.25","497.15","486.75","491.85","495.25","495.75","492.61","545.90","375.05","1,04,40,142","5,14,29,23,763.65","1,23,262"
"18-Jun-2024","EQ","481.00","493.00","480.05","477.50","491.55","491.85","490.22","545.90","375.05","1,59,35,492","7,81,19,45,829.15","2,42,174"
"14-Jun-2024","EQ","485.00","485.60","476.20","482.60","477.15","477.50","478.63","545.90","375.05","56,61,298","2,70,96,81,807.50","1,34,137"
