transaction_amount,num_transactions,account_age_days,transaction_time,label
140.78042699305772,1,2044,12,0
903.0364292752563,1,3450,12,0
395.0237080636348,2,1465,2,0
273.88276613278595,6,455,20,0
50.887461138703884,1,3479,5,0
50.87888757438155,0,1811,20,0
34.514772473121866,1,2067,2,1
603.3692593439819,1,3002,0,0
275.7246460881794,0,1904,6,0
369.3750185113771,1,979,6,0
6.239792399741587,1,433,12,0
1051.0672425474936,4,1453,21,0
535.9288630064025,6,252,8,0
71.6062875746841,1,2024,17,0
60.20369662489901,1,796,0,0
60.78342684967711,1,3634,10,0
108.82611883814313,2,2955,21,0
223.17834925825633,0,1847,21,0
169.661120034101,5,2697,10,0
103.26689776618245,2,2958,9,0
283.9112621699396,2,2786,16,0
45.0703586182016,1,221,16,0
103.65465360072068,1,2161,11,0
136.88316546625413,1,3221,9,0
182.6804063579325,6,560,11,0
1101.9464051864525,2,1082,1,1
66.82075863860709,1,2245,20,0
216.6087465099383,0,1742,5,0
269.25141639292815,4,3090,5,0
14.269154926922564,0,780,19,0
280.59990619488303,4,2263,7,0
56.088375593224924,1,636,4,0
20.179179263791273,3,1040,5,0
892.1063380520792,2,2725,1,0
1011.1891027383517,2,2708,16,0
495.699471843863,3,3471,7,0
108.98635799062748,1,2281,21,0
30.833194500751873,1,2073,8,0
345.82522892959855,1,1425,20,0
174.0272527756195,2,1804,7,0
39.04567018633459,1,1389,22,0
205.06416844024506,1,2986,10,0
10.498116433043725,1,3367,9,0
720.1268662179071,3,3067,16,0
89.83733305220582,6,3509,22,0
325.8767395694941,2,2119,19,0
112.0639744972871,0,1583,12,0
220.23326877276858,0,2073,21,0
535.0380964895476,3,3446,1,1
61.316579852371724,3,3617,14,0
1047.842139820868,4,458,12,0
447.6736131414422,2,3286,12,0
841.5283257874747,0,211,12,0
675.645599260259,2,2589,20,0
273.3163237149825,3,2819,3,0
764.8306137808215,2,1063,21,0
27.796637685934687,1,3332,9,0
65.44040838938024,2,677,14,0
13.884589706049587,2,2143,20,0
118.05962604092605,1,1414,9,0
147.63908753826558,1,2268,20,0
94.96813296264772,4,906,7,0
529.3673595722802,2,1292,9,0
132.36809985896105,4,1518,20,0
98.94085204027476,1,1654,16,0
234.7221249623238,1,1090,4,0
45.569444346188654,3,1411,12,0
486.1450787324194,2,2241,20,0
23.242760643392703,1,3392,20,0
1300.2439018761959,1,3619,18,0
443.8451328724534,1,2223,11,0
66.46183215176579,1,112,11,0
1.6612261127806425,0,3380,20,0
506.9690332458378,3,3412,1,0
368.1287722161134,4,3152,20,0
391.6988726363997,1,3550,8,0
442.564357813054,3,2159,23,0
67.68141774384337,0,1511,1,1
133.16780172486975,3,1945,22,0
36.94503138133489,1,2501,1,0
596.5588714974668,2,413,0,0
292.8903575137122,3,2652,13,0
120.54564037539029,2,960,12,0
19.700419741434867,1,186,2,0
111.74650512310612,1,1577,19,0
117.9942639552394,2,3159,4,0
392.36273518732224,1,3296,1,0
304.466807677806,2,51,20,0
654.6755737204544,2,3198,17,0
191.71984001289294,3,1170,8,0
38.21171808465057,5,3113,21,0
374.73790329497984,2,355,11,0
429.11782592305923,2,3517,4,0
247.16624846574865,1,2411,17,0
442.16699001640933,4,2584,22,0
204.24441945308337,2,1308,22,0
221.90365163318012,2,36,1,0
167.3442581725282,0,277,9,0
14.362277299727221,1,1720,4,1
34.25023055755975,1,1349,9,0
9.580104387916148,1,3058,2,0
303.51886527826485,2,2230,23,0
113.21901263852995,3,2519,13,0
213.13115314025703,3,1836,4,0
714.3796589537926,4,2465,23,0
86.0216468949895,3,889,22,0
158.48459246480178,1,3222,12,0
422.624744261575,3,404,23,0
77.94154707521821,1,514,16,0
24.03128356505291,2,2614,5,0
102.64209116611713,0,2489,12,0
52.74250755001886,1,1270,11,0
796.4850257641874,1,3040,2,0
495.26612414537084,4,1070,15,0
301.0482571561593,1,2123,4,0
615.4559191562439,2,1173,1,0
488.3906822221669,2,2454,10,0
61.94864290759172,1,2051,3,0
669.2440215706683,3,1033,21,0
232.5299705898516,4,514,0,0
494.20448739106985,0,3310,12,0
679.2727947858693,2,2588,17,0
114.81921492549554,2,290,15,0
34.97764803715525,5,2229,1,0
77.6060238418144,2,3387,8,0
167.11730782458432,2,2314,11,0
511.1489179916835,4,83,4,0
591.40349156395,1,1885,4,0
2.092922754495194,4,2306,21,0
214.46284780156674,3,1584,12,0
162.0819962756014,6,1670,15,0
75.35020148274735,0,1836,18,0
73.76422053538255,3,950,1,1
123.57257395872973,1,2247,15,0
858.9363368073449,1,1316,18,0
117.11514086444232,2,648,3,0
632.1161700798981,2,3155,3,1
364.2260930642565,1,266,8,0
135.5923496900887,2,3489,15,0
2340.528687172346,3,3045,3,1
984.6029593624194,2,2918,5,0
190.21190837577464,2,2779,3,1
206.29778353915415,4,861,0,0
107.37913802371403,1,19,13,0
100.57490291432451,0,3602,3,0
31.597040048337416,3,371,0,1
282.14762129477793,2,3095,15,0
209.55588984889155,5,3457,3,0
15.855326214117744,3,1851,1,0
97.9877763031108,7,619,1,0
716.6582853268021,1,643,12,0
82.15816564262312,4,1546,10,0
46.95925829564093,1,2427,9,0
201.68163284209086,2,1735,5,0
1273.2110947845779,4,817,6,0
83.14344406791786,2,2872,14,0
334.54650308918804,0,2138,19,0
430.16628787183885,2,2192,18,0
81.39995170074174,2,1831,2,0
390.8246785476949,0,2669,20,0
137.5568397792912,1,864,13,0
300.1511243195314,3,204,21,0
301.15134814129146,0,3628,1,0
230.21557498570465,1,3592,22,0
28.388747643486287,1,3464,15,0
541.0934382738891,2,3373,22,0
116.04308810021898,0,1931,16,0
61.92963198226696,0,1529,14,0
12.488927938303561,0,2913,12,0
268.13352137837506,3,2201,11,0
339.55552028020463,3,529,6,0
5.018084267541186,0,339,19,0
215.2891753648465,2,2797,19,0
149.7856831795341,3,3584,2,1
310.8373024643076,5,1975,8,0
57.48126676174013,3,3407,2,0
352.26375827031575,1,1533,15,0
146.68761029433054,3,1080,19,0
828.1031453412921,2,556,2,0
44.38332403178368,0,2801,7,0
125.13973019855152,2,931,7,0
36.133285511098926,4,2599,23,0
775.8571191452171,3,1154,14,0
629.5001121482982,2,98,4,0
89.49821101844667,3,793,12,0
323.6288217131744,3,2470,14,0
509.8452217917664,1,80,6,0
243.03970820595242,1,288,11,0
226.28382305818383,5,2895,2,0
83.06311363137094,2,1770,7,0
29.317842142482217,4,2217,9,0
